brand,model,efficiencyRating,modular,type,maxPowerWatt
MSI,MAG A750GL PCIE5,80+ Gold,Full,ATX,750
MSI,MAG A850GL PCIE5,80+ Gold,Full,ATX,850
MSI,MAG A650BN,80+ Bronze,No,ATX,650
Corsair,RM850e (2025),,Full,ATX,850
Corsair,SF1000 (2024),80+ Platinum,Full,SFX,1000
Montech,CENTURY II,80+ Gold,Full,ATX,850
Corsair,RM750e (2025),,Full,ATX,750
MSI,MAG A550BN,80+ Bronze,No,ATX,550
Corsair,RM1000x (2024),,Full,ATX,1000
be quiet!,Pure Power 12 M,80+ Gold,Full,ATX,1000
Thermaltake,Smart,80+,No,ATX,500
Corsair,SF750 (2024),80+ Platinum,Full,SFX,750
MSI,MAG A850GL PCIE5,80+ Gold,Full,ATX,850
MSI,MAG A650GL,80+ Gold,Full,ATX,650
Corsair,RM850x (2024),,Full,ATX,850
Corsair,RM1000e (2025),,Full,ATX,1000
Corsair,SF850 (2024),80+ Platinum,Full,SFX,850
be quiet!,Pure Power 12 M,80+ Gold,Full,ATX,850
Cooler Master,MWE GOLD 750 V2 FULL MODULAR,80+ Gold,Full,ATX,750
Silverstone,HELA,,Full,ATX,2050
Corsair,CX650M (2021),80+ Bronze,Semi,ATX,650
Thermaltake,Toughpower GX2,80+ Gold,No,ATX,600
Corsair,RM650e (2025),,Full,ATX,650
Montech,CENTURY II,80+ Gold,Full,ATX,1050
MSI,MAG A750BN PCIE5,80+ Bronze,No,ATX,750
Lian Li,EDGE,80+ Platinum,Full,ATX,1000
Asus,ROG STRIX 1200P Gaming,80+ Platinum,Full,ATX,1200
Asus,ROG THOR 1600T Gaming,80+ Titanium,Full,ATX,1600
Corsair,RM750e (2025),,Full,ATX,750
be quiet!,Pure Power 13 M,80+ Gold,Full,ATX,750
Corsair,RM1000e (2025),,Full,ATX,1000
Cooler Master,V850 SFX GOLD,80+ Gold,Full,SFX,850
Super Flower,Leadex Titanium,80+ Titanium,Full,ATX,2800
be quiet!,Dark Power 13,80+ Titanium,Full,ATX,1000
Corsair,RM850x (2021),80+ Gold,Full,ATX,850
Thermaltake,Smart,80+,No,ATX,600
MSI,A1000G PCIE5,80+ Gold,Full,ATX,1000
Apevia,Galaxy,80+ Gold,Semi,ATX,650
Rosewill,VSB,80+ Bronze,Semi,ATX,650
Lian Li,EDGE,80+ Platinum,Full,ATX,1300
Corsair,CX750M (2021),80+ Bronze,Semi,ATX,750
Corsair,RM750e (2023),80+ Gold,Full,ATX,750
Apevia,Prestige,80+ Gold,No,ATX,600
SeaSonic,Focus GX V4 ATX 3 (2024),80+ Gold,Full,ATX,850
be quiet!,Dark Power Pro 13,80+ Titanium,Full,ATX,1600
Lian Li,EDGE,80+ Platinum,Full,ATX,1000
Gigabyte,UD750GM,80+ Gold,Full,ATX,750
Corsair,CX (2023),80+ Bronze,No,ATX,550
be quiet!,Pure Power 13 M,80+ Gold,Full,ATX,1000
be quiet!,Pure Power 13 M,80+ Gold,Full,ATX,850
Cooler Master,MWE Gold 850 - V2,80+ Gold,Full,ATX,850
Corsair,RM850e (2025),,Full,ATX,850
SeaSonic,CORE GX ATX 3 (2024),80+ Gold,Full,ATX,750
Apevia,CAPTAIN,,No,ATX,550
Gigabyte,P650G,80+ Gold,No,ATX,650
Thermaltake,Toughpower GF1 (2024),80+ Gold,Full,ATX,850
Lian Li,EDGE GOLD,80+ Gold,Full,ATX,850
Corsair,RM850,80+ Gold,Full,ATX,850
Corsair,RM750x (2024),,Full,ATX,750
Lian Li,EDGE,80+ Platinum,Full,ATX,1300
Corsair,RM850e (2023),80+ Gold,Full,ATX,850
Corsair,HX1200i,80+ Platinum,Full,ATX,1200
Asus,TUF Gaming 1000G,80+ Gold,Full,ATX,1000
Rosewill,VMG,80+ Gold,Full,ATX,750
Corsair,HX1500i (2025),80+ Platinum,Full,ATX,1500
NZXT,C850 (2024),80+ Gold,Full,ATX,850
Corsair,RM1000x,80+ Gold,Full,ATX,1000
SeaSonic,Focus GX V4 ATX 3 (2024),80+ Gold,Full,ATX,1000
Corsair,CX (2023),80+ Bronze,No,ATX,650
MSI,MAG A650BE,80+ Bronze,Semi,ATX,650
Asus,TUF Gaming 850G,80+ Gold,Full,ATX,850
Thermaltake,Smart,80+,No,ATX,700
MSI,MPG A850G PCIE5,80+ Gold,Full,ATX,850
SAMA,GT,80+ Gold,Full,ATX,750
Corsair,HX1500i (2023),80+ Platinum,Full,ATX,1500
Asus,ROG LOKI,80+ Titanium,Full,SFX,1200
Gigabyte,P750GM,80+ Gold,Full,ATX,750
be quiet!,Power Zone 2,80+ Platinum,Full,ATX,850
Gigabyte,UD850GM,80+ Gold,Full,ATX,850
MSI,MAG A1000GL PCIE5,80+ Gold,Full,ATX,1000
MSI,MEG Ai1300P PCIE5,80+ Platinum,Full,ATX,1300
Cooler Master,MWE Gold 850 V3,80+ Gold,Full,ATX,850
SeaSonic,FOCUS GX,80+ Gold,Full,ATX,750
Lian Li,EDGE GOLD,80+ Gold,Full,ATX,850
CoolMax,V-400,,No,ATX,400
Vetroo,50315153277247,80+ Gold,Full,ATX,850
MSI,MEG Ai1600T PCIE5,80+ Titanium,Full,ATX,1600
Corsair,RM750,80+ Gold,Full,ATX,750
be quiet!,Power Zone 2,80+ Platinum,Full,ATX,1000
Asus,ROG Strix,80+ Platinum,Full,ATX,1000
Lian Li,EDGE GOLD,80+ Gold,Full,ATX,750
Apevia,Galaxy,80+ Gold,Semi,ATX,850
Lian Li,EDGE GOLD,80+ Gold,Full,ATX,1000
be quiet!,Pure Power 12 M,80+ Gold,Full,ATX,1200
Cooler Master,V750 SFX GOLD,80+ Gold,Full,SFX,750
NZXT,C750 (2022),80+ Gold,Full,ATX,750
Lian Li,EDGE GOLD,80+ Gold,Full,ATX,1000
be quiet!,Straight Power 12,80+ Platinum,Full,ATX,1200
Silverstone,SFX,80+ Gold,Full,SFX,500
be quiet!,Pure Power 12 M,80+ Gold,Full,ATX,750
Corsair,RM1200e,80+ Gold,Full,ATX,1200
Lian Li,SP850,80+ Gold,Full,SFX,850
SAMA,GT,80+ Gold,Full,ATX,650
Thermaltake,Toughpower GT,80+ Gold,Full,ATX,850
Corsair,HX1200i (2025),80+ Platinum,Full,ATX,1200
SAMA,GT,80+ Gold,Full,ATX,650
Corsair,CX (2023),80+ Bronze,No,ATX,750
EVGA,SuperNOVA 750 G2,80+ Gold,Full,ATX,750
Segotep,GN,80+ Gold,No,ATX,650
SeaSonic,PRIME TX-1600 ATX 3.1,80+ Titanium,Full,ATX,1600
Corsair,HX1000i (2023),80+ Platinum,Full,ATX,1000
Corsair,RM850x SHIFT,80+ Gold,Full / Side,ATX,850
SeaSonic,CORE GX ATX 3 (2024),80+ Gold,Full,ATX,850
Lian Li,EDGE,80+ Platinum,Full,ATX,850
Thermaltake,Toughpower GF1 (2024),80+ Gold,Full,ATX,750
Corsair,RM1200x SHIFT,80+ Gold,Full / Side,ATX,1200
SeaSonic,PRIME TX-1600 Noctua Edition,80+ Titanium,Full,ATX,1600
Corsair,AX1600i,80+ Titanium,Full,ATX,1600
Lian Li,SP,80+ Gold,Full,SFX,750
Rosewill,CMG850,80+ Gold,Full,ATX,850
ASRock,Challenger CL-650B,80+ Bronze,No,ATX,650
be quiet!,Pure Power 11,80+ Gold,No,ATX,400
Gigabyte,P450B,80+ Bronze,No,ATX,450
Gigabyte,AORUS ELITE P1000 ICE,80+ Platinum,Full,ATX,1000
be quiet!,Dark Power Pro 13,80+ Titanium,Full,ATX,1300
Corsair,RM750x (2021),80+ Gold,Full,ATX,750
Thermaltake,Toughpower GX3,80+ Gold,No,ATX,850
Apevia,Prestige,80+ Gold,No,ATX,600
MSI,MPG A1000GS PCIE5,80+ Gold,Full,ATX,1000
SeaSonic,CORE GX ATX 3 (2024),80+ Gold,Full,ATX,650
be quiet!,Power Zone 2,80+ Platinum,Full,ATX,750
Corsair,HX1200 Platinum,80+ Platinum,Full,ATX,1200
Silverstone,FX500-G,80+ Gold,No,Flex ATX,500
Corsair,RM1000e (2023),80+ Gold,Full,ATX,1000
Gigabyte,AORUS ELITE P850 ICE,80+ Platinum,Full,ATX,850
NZXT,C1200 (2024),80+ Gold,Full,ATX,1200
Corsair,RM750x (2018),80+ Gold,Full,ATX,750
NZXT,C1000 (2024),80+ Gold,Full,ATX,1000
ASRock,Steel Legend SL-750G,80+ Gold,Full,ATX,750
Gigabyte,AORUS ELITE P850,80+ Platinum,Full,ATX,850
Lian Li,SP850,80+ Gold,Full,SFX,850
Asus,Prime AP-750G,80+ Gold,Full,ATX,750
Asus,ROG LOKI,80+ Platinum,Full,SFX,1000
Corsair,RM650 (2019),80+ Gold,Full,ATX,650
Vetroo,CP-PSU-VT-850W-SFX (BK),80+ Gold,Full,SFX,850
SeaSonic,VERTEX PX-1000,80+ Platinum,Full,ATX,1000
Thermaltake,Smart W3,80+,No,ATX,600
Asus,ROG THOR T3 GAMING,80+ Titanium,Full,ATX,1600
Cooler Master,MWE Gold V3,80+ Gold,No,ATX,650
Corsair,RM850x (2018),80+ Gold,Full,ATX,850
ASRock,Steel Legend SL-650G,80+ Gold,Full,ATX,650
Thermaltake,Toughpower GT,80+ Gold,Full,ATX,750
Corsair,RM1000x SHIFT,80+ Gold,Full / Side,ATX,1000
MSI,MAG A1250GL PCIE5,80+ Gold,Full,ATX,1250
Asus,Prime AP-850G,80+ Gold,Full,ATX,850
SeaSonic,VERTEX GX-1200,80+ Gold,Full,ATX,1200
GameMax,Rampage,80+ Bronze,No,ATX,500
be quiet!,Dark Power 13,80+ Titanium,Full,ATX,850
Asus,TUF Gaming 750G,80+ Gold,Full,ATX,750
Montech,APX,80+,No,ATX,750
Asus,TUF Gaming 1200G,80+ Gold,Full,ATX,1200
SeaSonic,VERTEX PX-1200,80+ Platinum,Full,ATX,1200
Thermaltake,Toughpower GT,80+ Gold,Full,ATX,850
Thermaltake,Smart BM3,80+ Bronze,Semi,ATX,650
MSI,MPG A850GS PCIE5,80+ Gold,Full,ATX,850
Montech,CENTURY II,80+ Gold,Full,ATX,1200
ASRock,Challenger CL-750G,80+ Gold,No,ATX,750
Lian Li,SP750,80+ Gold,Full,SFX,750
Gigabyte,UD850GM PG5 (rev. 2.0),80+ Gold,Full,ATX,850
Gigabyte,UD-GM PG5,80+ Gold,Full,ATX,850
Montech,APX,80+,No,ATX,650
NZXT,C850 (2024),80+ Gold,Full,ATX,850
Rosewill,VSB,80+ Bronze,Semi,ATX,750
Gigabyte,UD1000GM,80+ Gold,Full,ATX,1000
Corsair,RM750 (2019),80+ Gold,Full,ATX,750
Apevia,Prestige,80+ Gold,No,ATX,800
Thermalright,TG,80+ Gold,Full,ATX,650
Silverstone,FX600 Platinum,,No,Flex ATX,600
Super Flower,Leadex III Gold UP,80+ Gold,Full,ATX,1000
MSI,MAG A750GL PCIE5 II,80+ Gold,Full,ATX,750
Corsair,RM1200x SHIFT,80+ Gold,Full / Side,ATX,1200
Corsair,RM1000x SHIFT,80+ Gold,Full / Side,ATX,1000
Apevia,ATX-ES700-RGB,,Semi,ATX,700
be quiet!,SFX Power 3 450,80+ Bronze,No,SFX,450
be quiet!,Straight Power 12,80+ Platinum,Full,ATX,1500
Asus,ROG LOKI,80+ Platinum,Full,SFX,850
SeaSonic,Focus GX V4 ATX 3 (2024),80+ Gold,Full,ATX,750
Cooler Master,MWE Gold 750 V3,80+ Gold,Full,ATX,750
ASRock,Taichi TC-1650T,80+ Titanium,Full,ATX,1650
MSI,MPG A1250GS PCIE5,80+ Gold,Full,ATX,1250
EVGA,500 W1,80+,No,ATX,500
Corsair,RM850x SHIFT,80+ Gold,Full / Side,ATX,850
Cooler Master,V SFX Gold 850 ATX 3.1,80+ Gold,Full,SFX,850
Corsair,SF750 (2018),80+ Platinum,Full,SFX,750
Gigabyte,P650SS,80+ Silver,No,ATX,650
Silverstone,HELA 2050R Platinum,,Full,ATX,2050
EVGA,SuperNOVA 850 GT,80+ Gold,Full,ATX,850
be quiet!,Pure Power 12,80+ Gold,No,ATX,650
Thermaltake,Toughpower SFX,80+ Platinum,Full,SFX,1000
Corsair,RM1000x (2021),80+ Gold,Full,ATX,1000
